id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
22,Male,Loyal Customer,56,Personal Travel,Eco,4607,4,1,2,2,2,3,3,3,3,4,3,2,3,3,30,31.0,neutral or dissatisfied
23,Female,disloyal Customer,22,Business travel,Business,4526,4,1,3,4,3,1,2,3,3,2,3,2,4,4,28,19.0,satisfied
24,Female,Loyal Customer,45,Business travel,Eco,213,1,2,3,4,4,3,2,4,5,3,4,2,2,5,8,6.0,neutral or dissatisfied
25,Female,Loyal Customer,52,Personal Travel,Business,718,3,1,4,2,3,1,4,2,3,2,3,5,4,2,23,28.0,neutral or dissatisfied
26,Female,Loyal Customer,53,Business travel,Business,1308,4,1,2,3,3,2,3,3,4,4,3,3,4,3,124,118.0,neutral or dissatisfied
27,Female,Loyal Customer,50,Business travel,Eco,3449,4,4,3,1,3,4,3,2,3,4,4,4,1,5,122,139.0,neutral or dissatisfied
28,Female,disloyal Customer,15,Personal Travel,Business,4292,4,3,2,4,2,3,4,3,0,3,2,5,2,3,104,107.0,neutral or dissatisfied
29,Female,Loyal Customer,56,Business travel,Eco,4099,3,2,4,3,5,3,4,3,2,3,2,1,5,4,10,14.0,satisfied
30,Female,Loyal Customer,66,Personal Travel,Business,1370,2,3,3,2,3,4,4,3,4,3,2,4,4,0,4,4.0,satisfied
31,Male,Loyal Customer,21,Business travel,Business,2276,1,3,2,3,3,5,5,5,4,4,5,3,4,3,8,10.0,satisfied
32,Male,Loyal Customer,42,Personal Travel,Eco,1783,3,4,2,4,4,4,3,2,2,2,4,4,5,1,11,6.0,neutral or dissatisfied
33,Female,Loyal Customer,69,Business travel,Eco,2306,3,1,2,3,3,5,3,3,3,2,2,4,5,3,4,3.0,satisfied
34,Female,disloyal Customer,75,Business travel,Business,2275,2,2,3,2,3,3,3,3,5,4,3,4,2,3,17,16.0,satisfied
35,Female,Loyal Customer,47,Business travel,Business,4640,4,2,4,2,4,3,3,4,5,2,3,3,3,2,0,8.0,satisfied
36,Male,Loyal Customer,30,Business travel,Business,1055,2,3,4,4,3,2,3,5,2,5,4,4,3,3,3,15.0,satisfied
37,Female,Loyal Customer,55,Personal Travel,Business,1108,2,5,3,2,3,4,5,0,3,5,5,0,4,4,64,76.0,neutral or dissatisfied
38,Male,Loyal Customer,24,Business travel,Eco Plus,605,4,4,5,3,4,4,5,2,3,2,3,2,2,4,15,15.0,satisfied
39,Male,Loyal Customer,13,Personal Travel,Eco,2407,2,3,3,3,1,2,2,2,2,5,3,2,5,4,19,17.0,neutral or dissatisfied
40,Male,Loyal Customer,10,Business travel,Business,2626,4,2,5,1,3,3,3,3,3,3,3,3,1,5,11,12.0,satisfied
41,Male,disloyal Customer,75,Business travel,Business,915,3,2,3,2,5,4,3,4,2,3,2,2,1,5,4,0.0,satisfied
42,Male,Loyal Customer,66,Business travel,Eco Plus,2563,3,4,3,4,3,3,2,5,2,4,2,3,3,2,3,15.0,satisfied
43,Female,Loyal Customer,61,Business travel,Eco,2943,4,2,4,5,1,2,4,4,1,4,4,4,3,3,6,22.0,satisfied
44,Female,Loyal Customer,22,Business travel,Eco,2814,3,3,3,2,4,3,1,3,3,4,2,1,5,3,66,46.0,neutral or dissatisfied
45,Female,disloyal Customer,35,Business travel,Eco,1618,1,5,2,3,3,2,3,2,4,5,3,5,3,2,10,6.0,satisfied
46,Female,Loyal Customer,29,Personal Travel,Business,1990,2,1,5,5,2,4,3,5,3,4,5,2,4,3,13,0.0,satisfied
47,Female,Loyal Customer,20,Personal Travel,Eco,4129,3,3,2,4,4,3,4,1,5,3,2,4,4,4,5,0.0,satisfied
48,Male,Loyal Customer,55,Business travel,Eco Plus,2722,2,2,4,2,4,0,3,3,5,4,3,2,3,2,1,1.0,satisfied
49,Female,Loyal Customer,39,Business travel,Eco,1383,4,5,4,3,4,3,4,4,3,3,3,3,3,2,6,0.0,neutral or dissatisfied
50,Female,Loyal Customer,31,Business travel,Business,211,4,2,4,3,2,3,3,3,3,2,2,1,3,5,65,72.0,satisfied
51,Male,Loyal Customer,27,Business travel,Business,472,1,4,4,4,3,4,4,4,5,1,3,4,3,3,0,0.0,satisfied
52,Female,Loyal Customer,23,Business travel,Business,4656,5,1,3,2,3,4,4,2,3,2,1,2,5,4,2,18.0,satisfied
53,Male,Loyal Customer,29,Business travel,Eco,3664,3,5,3,4,2,2,3,3,3,4,3,3,3,4,6,4.0,satisfied
54,Female,disloyal Customer,63,Personal Travel,Business,2755,3,4,3,4,4,3,5,3,4,3,4,4,3,4,9,16.0,satisfied
55,Male,disloyal Customer,64,Personal Travel,Business,2546,4,2,5,3,5,3,4,4,3,2,2,3,3,3,9,4.0,satisfied
56,Female,Loyal Customer,20,Business travel,Eco Plus,1305,3,3,4,5,3,3,3,3,3,4,4,2,3,3,2,3.0,neutral or dissatisfied
57,Female,Loyal Customer,26,Business travel,Business,2785,4,4,4,2,3,3,3,2,2,3,3,1,4,2,3,16.0,satisfied
58,Male,Loyal Customer,36,Business travel,Business,541,2,3,3,3,3,3,3,5,2,1,5,3,2,3,14,9.0,neutral or dissatisfied
59,Male,Loyal Customer,25,Personal Travel,Business,1881,4,3,2,3,4,4,0,5,5,2,1,3,4,2,5,5.0,satisfied
60,Male,Loyal Customer,59,Business travel,Business,3353,4,3,2,3,3,2,3,4,4,3,3,2,4,3,2,5.0,satisfied
61,Male,Loyal Customer,62,Business travel,Business,4065,2,3,4,4,3,5,4,4,4,2,5,3,4,4,7,0.0,satisfied
62,Male,Loyal Customer,29,Personal Travel,Eco,231,3,3,2,2,4,2,3,0,3,3,4,1,4,2,8,0.0,neutral or dissatisfied
63,Male,Loyal Customer,68,Business travel,Eco,2349,4,3,5,3,3,4,3,4,3,3,2,1,2,4,62,61.0,neutral or dissatisfied
64,Male,Loyal Customer,39,Business travel,Business,4254,4,2,3,5,3,5,4,4,3,4,2,4,3,2,7,7.0,satisfied
65,Male,Loyal Customer,24,Business travel,Business,1865,3,2,4,4,2,4,5,5,5,3,2,3,2,2,16,23.0,satisfied
66,Female,Loyal Customer,79,Business travel,Eco,3540,4,3,3,2,2,1,2,2,2,4,4,2,2,2,2,12.0,satisfied
67,Female,Loyal Customer,39,Business travel,Business,1916,4,4,3,2,4,2,4,4,2,5,5,4,3,4,5,0.0,satisfied
68,Male,Loyal Customer,38,Business travel,Business,1477,3,1,2,4,2,4,3,4,3,4,2,3,5,5,1,0.0,satisfied
69,Female,Loyal Customer,67,Business travel,Eco Plus,1155,3,3,3,2,3,2,4,0,4,4,4,3,4,3,2,0.0,satisfied
70,Female,Loyal Customer,60,Business travel,Business,4586,4,4,4,3,2,5,5,3,4,2,4,4,2,2,6,0.0,satisfied
71,Female,Loyal Customer,23,Personal Travel,Business,2088,3,3,3,2,2,3,4,3,2,1,3,3,2,2,44,52.0,neutral or dissatisfied
72,Female,Loyal Customer,25,Business travel,Business,1573,2,3,5,5,4,4,5,2,3,2,2,3,5,3,134,143.0,neutral or dissatisfied
73,Male,Loyal Customer,76,Business travel,Eco,1215,3,3,1,3,2,3,2,3,2,3,3,4,3,2,32,46.0,neutral or dissatisfied
74,Female,disloyal Customer,40,Business travel,Business,1628,3,3,2,3,4,3,3,4,3,4,4,2,1,2,1,0.0,satisfied
75,Male,disloyal Customer,31,Personal Travel,Business,864,4,3,4,1,3,4,2,3,3,2,2,1,2,4,34,28.0,neutral or dissatisfied
76,Female,disloyal Customer,74,Personal Travel,Business,1500,5,3,3,2,5,0,3,3,5,4,4,2,1,3,8,8.0,neutral or dissatisfied
77,Female,Loyal Customer,17,Business travel,Eco,2515,4,3,2,3,3,3,3,1,3,4,2,2,3,4,3,14.0,satisfied
78,Female,Loyal Customer,22,Business travel,Business,3561,2,3,4,3,2,4,3,4,3,3,3,1,3,4,22,15.0,satisfied
79,Male,disloyal Customer,67,Personal Travel,Business,3731,4,3,4,5,4,2,4,4,4,3,3,4,5,3,11,12.0,satisfied
80,Female,Loyal Customer,13,Personal Travel,Eco,2143,0,2,1,3,2,4,2,3,4,4,2,3,2,3,1,0.0,neutral or dissatisfied
81,Male,Loyal Customer,22,Business travel,Eco,2100,3,1,4,4,4,3,3,3,4,2,3,4,2,3,9,6.0,satisfied
82,Female,Loyal Customer,22,Personal Travel,Business,4837,4,3,4,3,4,3,4,4,4,3,4,3,4,5,12,13.0,satisfied
83,Male,Loyal Customer,46,Business travel,Business,2229,4,4,3,4,4,3,4,4,3,3,2,2,4,1,0,0.0,satisfied
84,Female,disloyal Customer,18,Personal Travel,Eco,1030,3,5,3,1,4,4,3,4,4,3,4,2,4,3,69,67.0,neutral or dissatisfied
85,Male,Loyal Customer,41,Personal Travel,Eco,104,5,4,3,2,4,3,4,3,2,2,2,3,1,3,5,8.0,neutral or dissatisfied
86,Male,Loyal Customer,27,Business travel,Business,97,1,4,4,4,3,2,1,4,2,0,5,5,4,2,7,8.0,neutral or dissatisfied
87,Female,Loyal Customer,56,Personal Travel,Business,3905,2,3,2,5,3,4,3,4,3,3,5,3,4,4,1,6.0,satisfied
88,Male,Loyal Customer,49,Personal Travel,Business,649,4,3,4,1,4,3,4,4,4,5,1,3,4,3,8,5.0,satisfied
89,Female,disloyal Customer,23,Business travel,Business,1435,4,2,4,3,2,4,1,3,3,3,2,4,3,2,50,49.0,neutral or dissatisfied
90,Female,Loyal Customer,38,Business travel,Eco,1672,4,2,4,1,2,3,5,4,3,2,4,3,3,2,16,9.0,neutral or dissatisfied
91,Female,Loyal Customer,47,Business travel,Business,910,3,3,1,2,3,5,3,3,3,4,3,3,5,4,31,33.0,satisfied
92,Female,disloyal Customer,12,Business travel,Eco,3162,2,2,4,1,3,3,2,3,3,2,2,2,3,3,3,5.0,neutral or dissatisfied
93,Female,Loyal Customer,33,Personal Travel,Eco,951,2,3,3,3,3,3,4,2,4,2,2,5,3,1,5,2.0,neutral or dissatisfied
94,Female,Loyal Customer,26,Business travel,Business,914,4,0,4,3,3,3,3,4,3,4,3,2,3,1,12,17.0,neutral or dissatisfied
95,Female,Loyal Customer,31,Business travel,Business,3392,2,4,1,3,2,4,5,1,4,3,3,2,3,3,16,8.0,satisfied
96,Female,Loyal Customer,72,Business travel,Eco,3196,4,2,2,3,4,5,3,3,3,3,3,1,1,0,4,8.0,neutral or dissatisfied
97,Female,Loyal Customer,15,Personal Travel,Business,1049,3,1,4,4,2,5,5,4,4,5,2,5,3,5,5,14.0,satisfied
98,Female,Loyal Customer,59,Business travel,Eco,672,2,4,4,5,4,2,4,4,2,3,1,3,4,3,1,1.0,satisfied
99,Female,Loyal Customer,67,Business travel,Eco Plus,334,2,4,2,2,3,1,3,3,3,3,3,4,4,4,13,6.0,neutral or dissatisfied
100,Male,Loyal Customer,44,Business travel,Business,2194,1,3,4,2,4,4,3,5,3,4,4,3,3,4,5,4.0,satisfied
101,Male,disloyal Customer,9,Personal Travel,Business,3045,2,2,2,3,4,3,5,3,3,1,3,4,3,2,1,0.0,satisfied
102,Female,Loyal Customer,76,Business travel,Business,2741,3,4,3,3,3,2,2,3,4,4,4,3,1,4,12,10.0,satisfied
103,Female,Loyal Customer,61,Business travel,Eco,682,3,2,2,3,1,5,2,5,4,2,3,0,4,3,0,0.0,neutral or dissatisfied
104,Female,Loyal Customer,7,Business travel,Eco,1145,3,3,3,2,4,5,4,2,4,3,3,4,1,3,35,39.0,satisfied
105,Female,Loyal Customer,76,Business travel,Eco,1919,2,4,4,2,4,1,1,0,4,3,3,3,1,2,12,10.0,neutral or dissatisfied
106,Female,Loyal Customer,51,Personal Travel,Eco,2511,2,3,4,3,3,2,1,5,4,3,3,3,3,4,11,14.0,neutral or dissatisfied
107,Female,disloyal Customer,53,Business travel,Business,1045,3,3,2,3,4,2,3,5,5,4,2,3,4,3,12,19.0,neutral or dissatisfied
108,Female,disloyal Customer,32,Business travel,Eco,1817,1,3,3,2,3,2,3,3,3,2,1,2,4,2,64,62.0,neutral or dissatisfied
109,Female,Loyal Customer,20,Business travel,Eco,564,3,3,1,4,3,4,1,3,2,2,4,4,4,4,3,10.0,neutral or dissatisfied
110,Male,disloyal Customer,60,Business travel,Eco,4214,4,3,4,2,3,3,4,2,3,2,2,1,4,2,9,0.0,satisfied
111,Female,Loyal Customer,77,Business travel,Business,90,3,2,3,5,1,4,3,5,4,3,1,3,4,3,34,33.0,satisfied
112,Male,Loyal Customer,52,Business travel,Eco,4799,3,4,4,2,3,4,4,5,4,1,3,2,0,3,3,0.0,satisfied
113,Female,Loyal Customer,37,Business travel,Eco,4584,3,2,3,5,2,3,2,2,4,0,0,3,3,3,15,0.0,satisfied
114,Female,disloyal Customer,65,Business travel,Eco,2107,1,3,2,2,3,2,2,3,3,3,3,3,4,1,43,24.0,neutral or dissatisfied
115,Male,Loyal Customer,35,Business travel,Eco,3444,5,4,2,4,3,4,3,5,4,4,4,4,1,1,69,80.0,neutral or dissatisfied
116,Female,Loyal Customer,23,Personal Travel,Eco,3167,2,3,3,3,1,3,3,5,3,2,4,1,3,3,7,1.0,neutral or dissatisfied
117,Male,Loyal Customer,20,Business travel,Eco,3118,3,4,5,3,3,3,4,3,3,4,1,0,1,3,16,9.0,satisfied
118,Female,Loyal Customer,42,Business travel,Eco,684,2,3,3,4,2,2,4,3,1,1,3,3,4,3,1,0.0,neutral or dissatisfied
119,Female,Loyal Customer,64,Business travel,Eco,1048,4,3,4,3,4,4,2,3,3,3,3,5,2,1,0,0.0,satisfied
120,Male,disloyal Customer,30,Business travel,Business,4340,2,3,4,1,1,4,4,3,2,4,3,5,5,3,5,10.0,satisfied
121,Female,Loyal Customer,69,Business travel,Business,516,5,3,3,2,2,4,3,4,2,5,5,3,4,4,21,25.0,satisfied
122,Male,Loyal Customer,31,Business travel,Business,2854,3,4,5,2,2,2,4,5,4,3,5,4,3,0,0,0.0,satisfied
123,Female,disloyal Customer,65,Business travel,Eco,1889,2,4,4,5,4,4,2,2,3,2,3,4,3,2,10,9.0,neutral or dissatisfied
124,Male,Loyal Customer,38,Business travel,Eco,2849,2,4,1,3,3,3,3,3,2,3,4,2,4,3,0,0.0,satisfied
125,Male,disloyal Customer,24,Business travel,Eco Plus,1909,5,2,4,3,4,4,5,3,3,3,2,3,4,3,8,8.0,satisfied
126,Female,Loyal Customer,43,Personal Travel,Business,372,1,5,5,3,2,3,2,2,3,5,3,1,4,5,1,0.0,neutral or dissatisfied
127,Female,Loyal Customer,32,Business travel,Business,4031,3,1,2,3,2,4,3,4,4,5,3,3,2,4,11,0.0,satisfied
128,Male,Loyal Customer,15,Business travel,Business,541,2,2,2,2,3,5,1,3,3,4,5,2,4,4,4,8.0,satisfied
129,Female,disloyal Customer,70,Personal Travel,Business,3964,1,3,3,2,5,4,3,3,4,3,4,4,3,4,5,5.0,satisfied
130,Female,Loyal Customer,78,Business travel,Eco,3313,4,2,5,4,3,3,2,5,2,3,4,2,1,3,0,0.0,satisfied
131,Female,Loyal Customer,26,Business travel,Business,2171,3,3,2,3,2,4,5,3,2,2,4,3,3,4,17,9.0,satisfied
132,Male,Loyal Customer,60,Business travel,Eco,4016,2,4,1,3,3,2,2,2,4,2,2,4,3,4,11,2.0,neutral or dissatisfied
133,Male,Loyal Customer,36,Business travel,Eco,3019,4,2,2,3,4,4,2,4,5,4,2,1,3,1,10,0.0,satisfied
134,Male,Loyal Customer,59,Business travel,Business,4886,3,4,3,4,2,4,4,4,5,4,3,2,3,5,12,15.0,satisfied
135,Male,Loyal Customer,69,Personal Travel,Eco,168,2,4,1,2,3,3,2,3,4,3,4,4,2,3,13,17.0,neutral or dissatisfied
136,Male,disloyal Customer,17,Business travel,Business,1743,4,1,3,3,3,3,4,4,3,3,3,2,4,4,5,3.0,satisfied
137,Male,Loyal Customer,37,Business travel,Business,3381,3,3,4,1,5,4,4,3,4,1,3,4,4,4,3,3.0,satisfied
138,Male,Loyal Customer,55,Personal Travel,Eco,2800,2,3,5,1,3,3,5,3,4,3,2,4,1,3,4,18.0,neutral or dissatisfied
139,Male,Loyal Customer,25,Personal Travel,Eco,3017,4,2,4,3,5,3,3,2,5,2,3,4,3,4,20,16.0,neutral or dissatisfied
140,Male,disloyal Customer,18,Business travel,Business,501,3,2,4,2,2,4,1,4,2,2,1,5,3,4,2,16.0,satisfied
141,Female,Loyal Customer,21,Personal Travel,Business,3829,4,2,2,4,4,5,5,5,3,4,4,3,2,4,8,4.0,satisfied
142,Male,Loyal Customer,37,Business travel,Business,4513,3,3,3,2,2,4,5,5,2,5,3,2,4,4,11,7.0,satisfied
143,Female,Loyal Customer,49,Business travel,Business,345,4,2,3,3,4,3,3,4,5,3,3,2,3,2,8,8.0,satisfied
144,Female,Loyal Customer,43,Business travel,Eco Plus,2930,3,4,3,4,3,2,3,5,3,3,3,2,3,2,9,18.0,satisfied
145,Female,Loyal Customer,35,Business travel,Eco,1458,4,3,4,4,2,2,2,2,2,2,2,4,2,3,21,24.0,neutral or dissatisfied
146,Male,disloyal Customer,32,Personal Travel,Business,1894,4,3,4,2,4,5,2,3,1,2,3,4,3,2,4,1.0,neutral or dissatisfied
147,Male,Loyal Customer,8,Business travel,Eco,2344,4,4,3,3,4,5,3,2,2,3,2,4,4,3,5,4.0,satisfied
148,Male,Loyal Customer,21,Business travel,Business,4496,3,4,3,4,4,4,3,4,4,1,2,5,5,2,2,0.0,satisfied
149,Male,Loyal Customer,10,Business travel,Business,929,4,3,5,4,5,5,4,3,1,2,3,2,2,5,16,25.0,satisfied
150,Female,disloyal Customer,56,Business travel,Eco Plus,4894,3,2,4,5,3,2,3,5,2,4,3,4,3,5,62,58.0,satisfied
151,Male,Loyal Customer,44,Business travel,Eco,3816,2,4,4,4,3,4,5,3,3,5,0,3,2,4,8,12.0,neutral or dissatisfied
152,Male,Loyal Customer,29,Business travel,Eco,1071,5,4,3,4,3,4,2,3,3,3,4,2,3,3,23,31.0,neutral or dissatisfied
153,Male,Loyal Customer,65,Personal Travel,Eco,3844,2,3,4,3,4,3,1,4,2,2,3,5,3,3,1,2.0,satisfied
154,Male,disloyal Customer,34,Business travel,Eco,1888,4,2,1,3,3,1,3,4,2,1,1,3,3,3,2,11.0,neutral or dissatisfied
155,Male,Loyal Customer,72,Business travel,Business,3354,4,4,4,3,2,2,3,4,3,3,3,4,0,5,2,11.0,satisfied
156,Female,Loyal Customer,14,Business travel,Eco,796,3,1,4,4,3,3,5,4,3,3,4,5,4,3,1,0.0,satisfied
157,Male,Loyal Customer,35,Business travel,Eco Plus,975,3,3,2,3,1,3,4,4,4,2,4,1,3,4,34,41.0,neutral or dissatisfied
158,Female,Loyal Customer,17,Business travel,Business,1256,3,5,3,4,4,4,3,5,3,4,3,3,2,2,16,30.0,satisfied
159,Male,Loyal Customer,24,Personal Travel,Eco,3833,2,3,2,4,4,3,4,1,4,1,3,2,2,3,7,15.0,neutral or dissatisfied
160,Female,Loyal Customer,61,Personal Travel,Eco,1856,3,3,4,4,2,2,4,2,2,2,3,3,4,5,4,18.0,neutral or dissatisfied
161,Male,Loyal Customer,56,Business travel,Business,2884,2,3,0,2,3,5,2,5,2,3,3,3,4,5,1,1.0,satisfied
162,Male,Loyal Customer,20,Business travel,Eco,3472,4,4,3,3,1,2,3,3,1,5,4,2,3,2,0,0.0,satisfied
163,Female,Loyal Customer,15,Personal Travel,Business,1539,3,3,2,4,3,3,5,4,4,4,4,4,3,3,12,0.0,satisfied
164,Female,disloyal Customer,17,Business travel,Eco,2623,2,3,2,1,3,3,1,0,3,3,4,4,1,4,8,7.0,neutral or dissatisfied
165,Female,Loyal Customer,69,Business travel,Business,4717,2,1,1,3,4,4,3,3,2,4,5,4,4,5,10,10.0,satisfied
166,Male,disloyal Customer,73,Business travel,Eco Plus,4810,3,3,2,4,3,1,3,1,3,3,5,4,4,3,2,14.0,satisfied
167,Female,Loyal Customer,59,Personal Travel,Business,3633,3,3,5,3,3,4,4,3,4,4,3,3,5,3,10,12.0,satisfied
168,Male,Loyal Customer,45,Business travel,Business,1429,3,1,3,5,4,4,4,3,4,3,3,2,4,3,2,9.0,satisfied
169,Male,Loyal Customer,62,Personal Travel,Business,3066,4,2,4,1,2,5,4,4,3,5,3,3,5,2,0,0.0,satisfied
170,Female,Loyal Customer,34,Personal Travel,Eco Plus,3410,3,2,2,2,2,3,3,5,2,3,3,3,2,3,24,27.0,neutral or dissatisfied
171,Female,Loyal Customer,45,Business travel,Eco,4873,3,2,4,3,1,3,3,4,3,2,3,3,3,3,21,24.0,satisfied
172,Male,Loyal Customer,31,Personal Travel,Eco,2202,2,3,4,4,2,2,4,4,3,4,3,3,4,1,10,11.0,neutral or dissatisfied
173,Male,Loyal Customer,27,Personal Travel,Eco,3708,2,3,3,3,2,2,5,2,5,3,4,2,4,5,29,35.0,neutral or dissatisfied
174,Female,disloyal Customer,16,Business travel,Business,577,2,3,3,4,1,3,5,2,2,3,4,4,5,3,17,14.0,neutral or dissatisfied
175,Female,Loyal Customer,49,Business travel,Business,3567,3,5,4,2,3,2,5,3,4,3,4,3,3,5,3,7.0,satisfied
176,Female,disloyal Customer,21,Business travel,Eco,801,4,3,2,3,4,4,3,2,2,5,3,5,4,4,29,29.0,neutral or dissatisfied
177,Male,Loyal Customer,54,Business travel,Business,1443,2,2,2,4,4,3,5,2,3,3,3,4,2,5,5,16.0,satisfied
178,Male,Loyal Customer,27,Business travel,Eco Plus,387,2,5,4,3,4,4,1,2,2,3,4,4,1,2,49,45.0,neutral or dissatisfied
179,Male,Loyal Customer,66,Business travel,Eco,2831,3,5,5,4,3,3,3,3,4,0,3,2,3,4,14,,neutral or dissatisfied
180,Male,Loyal Customer,56,Business travel,Business,963,4,2,3,4,3,4,4,4,4,3,4,3,5,3,2,9.0,satisfied
181,Male,Loyal Customer,29,Personal Travel,Business,1344,2,4,4,3,3,2,4,5,4,4,3,3,5,3,6,0.0,satisfied
182,Male,Loyal Customer,19,Business travel,Eco,4428,5,1,4,3,2,4,4,4,2,4,3,3,2,4,13,11.0,satisfied
183,Female,Loyal Customer,75,Business travel,Business,2524,4,5,3,2,4,4,3,4,4,4,3,4,3,4,18,14.0,satisfied
184,Male,Loyal Customer,10,Business travel,Business,3113,3,5,3,2,5,1,5,5,5,3,5,3,2,3,10,20.0,satisfied
185,Male,Loyal Customer,78,Business travel,Business,1132,2,4,4,3,2,5,4,3,1,3,2,5,3,3,16,7.0,satisfied
186,Male,disloyal Customer,15,Business travel,Eco,573,3,4,5,3,4,4,2,2,3,0,3,2,4,4,7,4.0,neutral or dissatisfied
187,Female,disloyal Customer,41,Business travel,Eco,2101,3,3,4,3,2,2,2,3,4,2,2,0,2,3,4,0.0,neutral or dissatisfied
188,Male,Loyal Customer,27,Business travel,Business,1827,2,2,4,3,5,4,4,3,4,3,3,2,4,4,14,4.0,satisfied
189,Male,Loyal Customer,64,Personal Travel,Business,3382,2,4,3,1,4,3,3,2,2,1,2,3,3,3,20,24.0,neutral or dissatisfied
190,Female,Loyal Customer,24,Personal Travel,Business,2359,2,4,3,4,3,3,0,3,2,4,5,3,3,2,4,0.0,neutral or dissatisfied
191,Male,Loyal Customer,78,Business travel,Eco,1011,3,2,4,1,3,3,1,3,3,4,3,3,2,5,6,9.0,neutral or dissatisfied
192,Male,disloyal Customer,49,Personal Travel,Business,2005,3,3,4,3,4,4,3,5,3,5,2,3,2,4,4,10.0,neutral or dissatisfied
193,Male,Loyal Customer,12,Personal Travel,Business,836,5,2,3,2,5,5,3,2,4,3,5,3,5,3,1,0.0,satisfied
194,Male,Loyal Customer,73,Business travel,Eco Plus,1134,1,3,5,3,4,5,4,2,4,5,3,2,4,2,17,8.0,satisfied
195,Male,Loyal Customer,18,Personal Travel,Eco Plus,4010,2,3,5,3,3,1,3,2,3,3,3,4,1,2,8,19.0,neutral or dissatisfied
196,Female,Loyal Customer,18,Personal Travel,Eco Plus,4631,2,4,3,3,4,1,3,4,1,2,2,2,4,4,2,13.0,satisfied
197,Female,Loyal Customer,72,Business travel,Eco,4434,3,5,3,4,5,2,2,2,2,2,1,2,3,3,5,0.0,satisfied
198,Female,disloyal Customer,8,Business travel,Business,4606,4,2,2,4,4,2,5,2,2,3,3,5,5,4,16,9.0,satisfied
199,Male,Loyal Customer,21,Business travel,Business,3533,3,4,2,4,3,5,3,2,3,1,4,3,2,2,5,1.0,satisfied
200,Male,Loyal Customer,29,Business travel,Business,2596,5,4,4,3,2,4,4,3,4,5,5,1,4,4,0,2.0,satisfied
